,year,song,musician,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,track_href,analysis_url,won_award
167,1992,Walking in Memphis,Marc Cohn,0.567,0.512,0,-8.831,1,0.0357,0.547,0.0,0.296,0.334,130.269,252613,4,spotify:track:5fgkjhICZnqFctrV0AyuQD,https://api.spotify.com/v1/tracks/5fgkjhICZnqFctrV0AyuQD,https://api.spotify.com/v1/audio-analysis/5fgkjhICZnqFctrV0AyuQD,0
168,1992,"""Unforgettable"" *",Natalie Cole (With Nat King Cole),0.307,0.289,5,-13.369,1,0.0281,0.851,0.000126,0.0798,0.145,85.948,210907,4,spotify:track:48D177fBErMz5p4zeAW1N5,https://api.spotify.com/v1/tracks/48D177fBErMz5p4zeAW1N5,https://api.spotify.com/v1/audio-analysis/48D177fBErMz5p4zeAW1N5,1
169,1992,Baby Baby,Amy Grant,0.702,0.901,1,-4.45,1,0.0264,0.426,0.00153,0.0368,0.919,97.862,236973,4,spotify:track:3IDsegNBHC4pjGCOMTQYlU,https://api.spotify.com/v1/tracks/3IDsegNBHC4pjGCOMTQYlU,https://api.spotify.com/v1/audio-analysis/3IDsegNBHC4pjGCOMTQYlU,0
170,1993,"""Tears in Heaven"" *",Eric Clapton,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,280000,4,spotify:track:612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,1
171,1993,Constant Craving,k.d. lang,0.6,0.77,5,-5.559,0,0.0302,0.0603,4.79e-06,0.0967,0.321,128.473,277240,4,spotify:track:0wCrg1LhgPcGMw51qqpI6k,https://api.spotify.com/v1/tracks/0wCrg1LhgPcGMw51qqpI6k,https://api.spotify.com/v1/audio-analysis/0wCrg1LhgPcGMw51qqpI6k,0
172,1993,Save the Best for Last,Vanessa Williams,0.528,0.234,3,-15.784,1,0.0283,0.641,0.0,0.183,0.191,95.911,218733,4,spotify:track:7okbmgA8lRBGl5limZ7LFM,https://api.spotify.com/v1/tracks/7okbmgA8lRBGl5limZ7LFM,https://api.spotify.com/v1/audio-analysis/7okbmgA8lRBGl5limZ7LFM,0
173,1994,"""A Whole New World""",Peabo Bryson & Regina Belle,0.383,0.2,10,-15.554,1,0.0291,0.248,0.676,0.111,0.16,105.865,253573,4,spotify:track:0NbukFzhwpqjhdxKBct5Mv,https://api.spotify.com/v1/tracks/0NbukFzhwpqjhdxKBct5Mv,https://api.spotify.com/v1/audio-analysis/0NbukFzhwpqjhdxKBct5Mv,1
174,1994,The River of Dreams,Billy Joel,0.631,0.749,7,-8.15,1,0.0576,0.205,5.21e-06,0.0667,0.437,89.646,247627,4,spotify:track:30qVCFYKBtAENjTIBA8FPZ,https://api.spotify.com/v1/tracks/30qVCFYKBtAENjTIBA8FPZ,https://api.spotify.com/v1/audio-analysis/30qVCFYKBtAENjTIBA8FPZ,0
175,1994,I'd Do Anything for Love (But I Won't Do That),Meat Loaf,0.419,0.672,2,-6.353,1,0.092,0.623,0.0,0.412,0.304,105.212,316467,4,spotify:track:391CwgcBxvUHmEKda2b5In,https://api.spotify.com/v1/tracks/391CwgcBxvUHmEKda2b5In,https://api.spotify.com/v1/audio-analysis/391CwgcBxvUHmEKda2b5In,0
176,1994,If I Ever Lose My Faith in You,Sting,0.575,0.727,2,-9.539,1,0.0281,0.00952,0.00754,0.054,0.504,97.995,270533,4,spotify:track:05vL56xSoxthM0r7IfcQjo,https://api.spotify.com/v1/tracks/05vL56xSoxthM0r7IfcQjo,https://api.spotify.com/v1/audio-analysis/05vL56xSoxthM0r7IfcQjo,0
